indicator_code,indicator_name,unit_canonical
Y477060017,"Оборот малых предприятий по виду экономической деятельности торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",Млн руб
Y477060016,"Оборот малых предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ",Млн руб
Y477060014,Оборот малых предприятий по виду экономической деятельности торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,Млн руб
Y477060013,Оборот малых предприятий по виду экономической деятельности строительство,Млн руб
Y477060012,Оборот малых предприятий по виду экономической деятельности обрабатывающие производства,Млн руб
Y477070007,Забор воды из природных водных объектов,Миллионов кубических метров
Y477060011,Оборот малых предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом,Млн руб
Y477070011,Использование свежей воды,Миллионов кубических метров
Y477070012,Использование свежей воды на орошение и сельскохозяйственное водоснабжение,Миллионов кубических метров
Y477060010,Оборот малых предприятий,Млн руб
Y477070013,Использование свежей воды на производственные нужды,Миллионов кубических метров
Y477070014,Использование свежей воды на хозяйственно-питьевые нужды,Миллионов кубических метров
Y477060008,Инвестиции в основной капитал средних предприятий,Млн руб
Y477070022,Объем оборотного и последовательного использования воды,Миллионов кубических метров
Y477070030,Потери воды при транспортировке,Миллионов кубических метров
Y477070033,Сброс загрязненных сточных вод в поверхностные водные объекты,Миллионов кубических метров
Y477030069,"Удельный вес приватизированных жилых помещений (с начала приватизации) в общем числе жилых помещений, подлежащих приватизации",В процентах
Y477030067,Удельный вес введенной общей площади жилых домов по отношению к общей площади жилищного фонда,В процентах
Y477060049,"Объём субсидий, выделенный из федерального бюджета на государственную поддержку малого и среднего предпринимательства, включая крестьянские (фермерские) хозяйства, бюджетам субъектов Российской Федерации",Млн руб
Y477180010,Доходы консолидированных бюджетов субъектов Российской Федерации,Миллионов рублей; для значений в целом по России: млрд руб
Y477030022,"Задолженность по ипотечным жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам","Исходя из местонахождения заемщиков, на начало года, миллионов рублей"
Y477030021,"Задолженность по ипотечным жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам","Исходя из местонахождения заемщиков, на начало года, миллионов рублей"
